,ad_title,ad_link,ad_bedroom,ad_bathroom,ad_size,ad_price,location
31,For Sale Apartment With Facilities In New Capital,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-2106174.html,3,2,155,12800.0,Egypt
32,Medium Villa 532 M with Basement Sale in Villette,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-2106260.html,4,6,532,800000.0,Egypt
33,Swan Lake North Coast Garden Chalet Over Lake,/en/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-swan-lake-2108396.html,3,3,205,400326.4,Egypt
34,Penthouse for sale in Mountain View Chillout Park,/en/buy/penthouse-for-sale-giza-6-october-city-northern-expansions-mountain-view-chill-out-park-2107332.html,2,2,167,121600.0,Egypt
35,apt for sale in new capital with lowest price,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-2106533.html,3,3,150,8640.0,Egypt
36,Own Ur Fully Finished Aparment At Atika 10%Disc,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-atika-2106942.html,2,2,99,97984.0,Egypt
37,own Apartment199 SQM  at hyde park,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-2107045.html,4,3,199,31680.0,Egypt
38,Swan Lake Under market finished SEA VIEW Villa,/en/buy/villa-for-sale-north-coast-qesm-ad-dabaah-swan-lake-2108325.html,4,5,321,864000.0,Egypt
39,apartment 160 corner for sale prime location,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2106490.html,3,2,160,132480.0,Egypt
40,"With 155K DP Own Apartment 175m, New Capital",/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2106197.html,3,3,175,9920.0,Egypt
41,Apartment for sale in  Al Burouj  Al Shorouk city,/en/buy/apartment-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2105555.html,3,3,136,207617.41,Egypt
42,"Own apartment 3beds with installment, New Capital",/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2106276.html,3,2,150,10240.0,Egypt
43,the best view apartment for sale at estown sodic,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2107117.html,3,3,255,272000.0,Egypt
44,apartment 133 for sale prime location,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2106497.html,2,2,133,112000.0,Egypt
45,Apartment for sale in mountain view hyde park,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2107835.html,2,2,160,224000.0,Egypt
46,Hot Deal Chalet 93m For Sale - Marassi Marina,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2108006.html,1,1,93,179200.0,Egypt
47,Apartment | Mivida | Crescent | prime locatin,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-2107407.html,3,3,231,459200.0,Egypt
48,Apartment 210m Prime Location - The Square,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2106540.html,4,3,210,134400.0,Egypt
49,Apartment Prime Location For Sale - The Square,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-2107183.html,3,3,185,120320.0,Egypt
50,Own apartment  with installment in New Capital,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-2105802.html,3,3,200,8320.0,Egypt
51,Apartments For Sale In Cairo Festival City - Egypt,/en/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-2105871.html,2,2,135,243200.0,Egypt
52,3 bed apartment downpayment of102k Mostakbal City,/en/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-2105780.html,3,3,134,6528.0,Egypt
53,For Sale Standalone432SQM at Hyde Park installment,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-2105642.html,4,5,432,467200.0,Egypt
54,للبيع تاون هاوس نصف تشطيب في ويست تاون           .,/en/buy/townhouse-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-westown-2104526.html,3,4,275,339200.0,Egypt
55,Chalet with prime location at Il Monte Al Galala,/en/buy/chalet-for-sale-suez-al-ain-al-sokhna-il-monte-galala-2107998.html,3,2,110,70400.0,Egypt
56,Twinhouse under market price in Marassi Emaar,/en/buy/twin-house-for-sale-north-coast-sidi-abdel-rahman-marassi-2104446.html,3,3,273,576000.0,Egypt
57,twin house 300m al burouj with prime view,/en/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2104543.html,4,4,300,307200.0,Egypt
58,فيلا مستقله مقدم 600 الف فى كمبوند البوسكو العاصمه,/en/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-2105198.html,3,3,393,38400.0,Egypt
59,Own a 1st row Lagoon Villa in SwanLake North Coast,/en/buy/villa-for-sale-north-coast-qesm-ad-dabaah-swan-lake-2105107.html,5,5,492,672000.0,Egypt
60,Apartment for Sale in Eastown Sodic (Parks),/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105302.html,3,3,191,202880.0,Egypt
61,For Sale Chalet 2Bedrooms in North coast,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2105073.html,2,2,92,121600.0,Egypt
62,Villa for sale in Hacienda Bay 350m,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2105929.html,5,4,350,544000.0,Egypt
63,premium under market  f.finished  garden 650m لقطه,/en/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-caesar-2105318.html,4,4,260,576000.0,Egypt
64,Amazing 2 Bedrooms Ground Chalet - Verdi - Marassi,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2104748.html,3,2,120,358400.0,Egypt
65,Apartment 100m for sale at The Gate New Alamein,/en/buy/hotel-apartment-for-sale-north-coast-new-alamein-city-the-gate-towers-2105162.html,2,1,100,352000.0,Egypt
66,Chalet For Sale With Installments Over 6 Years,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2105179.html,1,1,43,28480.0,Egypt
67,Apartment 145 M for sale in New Narges ;New Cairo,/en/buy/apartment-for-sale-cairo-new-cairo-city-new-narges-2104513.html,3,3,145,76560.0,Egypt
68,Finished Villa for Sale 1300 m2 in New Cairo,/en/buy/villa-for-sale-cairo-new-cairo-city-south-investors-area-al-guezira-green-park-2108551.html,7,6,1300,1408000.0,Egypt
69,penthouse finished with private pool and kitchen,/en/buy/penthouse-for-sale-cairo-new-capital-city-new-capital-compounds-atika-2108772.html,3,4,211,202695.68,Egypt
70,Senior Chalet Hacienda Bay - Second Row Golf View,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2106769.html,3,3,200,211200.0,Egypt
71,Own Twin villa at azzar with 10 years installments,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-2106997.html,5,4,265,33280.0,Egypt
72,For Sale Chalet 2 Beds | Below Market | Marina 2,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2100781.html,2,2,125,307200.0,Egypt
73,Twinhouse Hyde Park ( Park corner ) with Over 200k,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-2103804.html,5,5,279,317440.0,Egypt
74,Standalone at Mountain View 2 special design 450 M,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-2103863.html,5,4,450,800000.0,Egypt
75,Apartment for sale 130m in Mountain View iCity,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-2103999.html,2,2,130,136320.0,Egypt
76,Villa 544 For Sale In Fountain Park Prime Location,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-fountain-park-2103633.html,5,6,900,800000.0,Egypt
77,Corner Standalone Mountain view chillout  263 M  .,/en/buy/villa-for-sale-giza-6-october-city-northern-expansions-mountain-view-chill-out-park-2103118.html,4,4,263,256000.0,Egypt
78,ready to deliver ivilla garden in MV hyde park,/en/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2102206.html,3,3,280,374400.0,Egypt
79,Villa For Sale in Marasi North Coast,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-marassi-2101626.html,7,5,750,1920000.0,Egypt
80,"For Sale Town House In Villette, Sodic, Corner",/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-2101243.html,4,4,308,544000.0,Egypt
81,Own Town House In The Heart Of New Capital DP 15%,/en/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-2100768.html,3,3,230,332160.0,Egypt
82,For sale villa at amwaj north coast,/en/buy/villa-for-sale-north-coast-al-alamein-amwaj-2102205.html,4,3,300,544000.0,Egypt
83,Own your chalet now in Mountain view over 8 years,/en/buy/chalet-for-sale-north-coast-ras-al-hekma-mountain-view-2103115.html,2,2,92,137600.0,Egypt
84,Amazing  Standalone kattamaya (PK1)For Sale 590 M.,/en/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-palm-hills-kattameya-2103314.html,5,5,590,736000.0,Egypt
85,Townhouse Corner 2nd Row In Azha -Sukhna prime one,/en/buy/townhouse-for-sale-suez-al-ain-al-sokhna-azha-2103715.html,3,3,149,217017.98,Egypt
86,Apartment 188 M in New Zayed 6 Years Installment,/en/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-2103648.html,3,3,188,106752.0,Egypt
87,Town house Corner at Palm Hills PK2 For sale 274 M,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-2103885.html,4,4,274,332800.0,Egypt
88,own your apartment in the icon |pool view|3 beds,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-icon-residence-2104805.html,3,3,180,140800.0,Egypt
89,Stand alone in Marassi Emaar north coast,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-marassi-2104441.html,5,5,527,832000.0,Egypt
90,Chalet forsale SeaView Finished DP160K over15Years,/en/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-sea-view-2104643.html,2,2,85,102400.0,Egypt
91,"Flat for sale in New Cairo, discount 900 per meter",/en/buy/apartment-for-sale-cairo-new-cairo-city-new-narges-2104548.html,3,3,155,79360.0,Egypt
92,Chalet 133m fully finished in North Coast,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2105092.html,3,2,133,11200.0,Egypt
93,Apartment 4Bed In New Capital Compounds For Sale,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2104970.html,4,4,225,15360.0,Egypt
94,chalet penthouse verdi marassi for sale,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2104685.html,3,4,200,320000.0,Egypt
95,Apartment with Lake and Swimmig Pool View for sale,/en/buy/apartment-for-sale-giza-6-october-city-south-dahshur-link-palm-parks-palm-hills-2104694.html,3,3,222,236800.0,Egypt
96,Stand alone in Marassi Emaar north coast,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-marassi-2104441.html,5,5,527,832000.0,Egypt
97,Chalet forsale SeaView Finished DP160K over15Years,/en/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-sea-view-2104643.html,2,2,85,102400.0,Egypt
98,"Flat for sale in New Cairo, discount 900 per meter",/en/buy/apartment-for-sale-cairo-new-cairo-city-new-narges-2104548.html,3,3,155,79360.0,Egypt
99,فيلا متشطبه ترى البحر مقدم 280الف فى منتجع كالى,/en/buy/villa-for-sale-north-coast-ras-al-hekma-la-vista-ras-el-hikma-2105267.html,3,2,210,17920.0,Egypt
100,"Twin Layan Residence 300m in total price 5,250,000",/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-2105145.html,4,4,283,336000.0,Egypt
101,a fully finished townhouse for sale in EMAAR zayed,/en/buy/townhouse-for-sale-giza-sheikh-zayed-city-new-zayed-city-belle-vie-2105232.html,4,4,220,409600.0,Egypt
102,Standalone at  Katameya Hills 418M fully finished,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-katameya-hills-2105157.html,5,5,520,608000.0,Egypt
103,Apartment 3bed In New Capital Compounds For Sale,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2104967.html,3,3,185,15360.0,Egypt
104,For Sale Apartment With Facilities In New Capital,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-2106457.html,2,2,124,10560.0,Egypt
105,Ground floor with garden 220m for sale in Joulz,/en/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-joulz-2107237.html,3,4,181,179200.0,Egypt
106,Your Finished Apt 140m Ready To Move Installment7Y,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-90-street-the-address-east-2107581.html,3,2,140,144832.0,Egypt
107,"Studio for sale in the capital, over12years.",/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-2106824.html,1,1,72,65600.0,Egypt
108,Ground chalet with private garden in Hacienda West,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-west-2107075.html,2,3,107,177632.0,Egypt
109,Villa For Sale In Hacienda Bay,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2105580.html,5,4,300,320000.0,Egypt
110,Town Middle Layan luxury finish for 5.250 million,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-2104862.html,4,4,266,336000.0,Egypt
111,studio 62m + 114m Roof for sale at stone residence,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-2104720.html,1,1,62,96000.0,Egypt
112,Services apartment sea view in Marassi,/en/buy/hotel-apartment-for-sale-north-coast-sidi-abdel-rahman-marassi-2104458.html,3,2,200,672000.0,Egypt
113,Villa for sale in Sodic East 8 years installments,/en/buy/villa-for-sale-cairo-new-heliopolis-6th-district-sodic-east-2104530.html,4,4,400,460800.0,Egypt
114,Stand alone for sale in Marassi - North Coast,/en/buy/villa-for-sale-north-coast-sidi-abdel-rahman-marassi-2104453.html,5,5,511,1030400.0,Egypt
115,Apartment 2Bed In New Capital Compounds For Sale,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-2105767.html,2,2,121,10880.0,Egypt
116,Good location Apartment for sale at Eastown  Sodic,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105430.html,3,3,188,224000.0,Egypt
117,Duplex 215m Fully Finished First Use at Palm Parks,/en/buy/duplex-for-sale-giza-6-october-city-south-dahshur-link-palm-parks-palm-hills-2107893.html,3,3,215,249600.0,Egypt
118,I villa roof for sale in mountain view hyde park,/en/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-2107794.html,3,3,235,201600.0,Egypt
119,Townhouse for Sale Prime location Attractive price,/en/buy/townhouse-for-sale-giza-6-october-city-cairo-alexandria-desert-road-palm-hills-golf-views-2107964.html,4,4,275,323840.0,Egypt
120,Chalet in Mountain View Ras El Hekma North Coast,/en/buy/chalet-for-sale-north-coast-ras-al-hekma-mountain-view-2104003.html,3,2,105,142794.88,Egypt
121,twin house calssic 316m  at hyde park .,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-2103677.html,4,4,316,419200.0,Egypt
122,Twin House For Sale in Azha Sokhna Prime Location,/en/buy/twin-house-for-sale-suez-al-ain-al-sokhna-azha-2101181.html,3,3,185,270375.68,Egypt
123,Twin house 350m Bua |Land 430m 1st Row Golf Views,/en/buy/townhouse-for-sale-giza-6-october-city-cairo-alexandria-desert-road-palm-hills-golf-views-2101674.html,4,4,430,544000.0,Egypt
124,Apartment 200m with garden 60m for sale at mivida,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-2100583.html,3,2,200,297600.0,Egypt
125,chance now lagoon floating chalet 3bedrooms 10% Dp,/en/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-almaza-bay-2100093.html,3,2,130,192000.0,Egypt
126,156m Apartment for sale at Eastown prime location,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2100221.html,2,4,156,148480.0,Egypt
127,Chalet for sale in Lasirena North Coast,/en/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-lasirena-2100258.html,3,2,120,115200.0,Egypt
128,Chalet delivery now in Marassi Emaar,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-2099966.html,3,2,152,304000.0,Egypt
129,With best price villa 800 m in mountain view 2,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-2101151.html,5,5,800,928000.0,Egypt
130,Villa oriana1 for sale Cairo Festival City,/en/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-2101486.html,5,5,750,1408000.0,Egypt
131,شقة كمبوند الموندو العاصمة بسعر خصم الكاش بالتقسيط,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-mondo-2100694.html,3,3,193,85228.8,Egypt
132,Ground floor apartment with private garden in b10.,/en/buy/villa-for-sale-cairo-madinaty-2101129.html,3,2,108,101120.0,Egypt
133,"apartment for sale in New Narges, new Cairo",/en/buy/apartment-for-sale-cairo-new-cairo-city-new-narges-2100066.html,2,2,115,61488.0,Egypt
134,Standalone at palm hills katameya (PK1) 800 M    .,/en/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-palm-hills-kattameya-2103635.html,5,4,530,672000.0,Egypt
135,Under Market Price 4 sale in Palm Hills New Cario,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-2103684.html,5,5,395,218880.0,Egypt
136,Apartment 156 m for Sale in Eastown,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105996.html,2,3,156,179200.0,Egypt
137,For Sale apartment Down Payment 5% In New Capital,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-2105927.html,2,2,122,102400.0,Egypt
138,Chalet fully finished 2 bedrooms at Bianchi,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-bianchi-2105419.html,2,1,95,9280.0,Egypt
139,Cabin For sale 87M Furnished 1st Row Hacienda bay,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-bay-2108451.html,2,2,87,51200.0,Egypt
140,Chalet For sale 165M sea view in Hacienda white,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-hacienda-white-2108423.html,3,3,165,41600.0,Egypt
141,Villa 226m on an open view in Fifth Settlement,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-2108105.html,3,3,226,52800.0,Egypt
142,Apartment 190 m for sale in the Fifth District,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-district-5-street28-2107695.html,3,2,190,121600.0,Egypt
143,Chalet 126 M For Sale at il Monte GALALA,/en/buy/chalet-for-sale-suez-al-ain-al-sokhna-il-monte-galala-2107150.html,3,2,126,118400.0,Egypt
144,Chalet for sale in Marseilia 4 resort,/en/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marseilia-beach-4-2106175.html,2,1,95,128000.0,Egypt
145,Apartment With Garden For Sale In New Capital,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2105681.html,1,1,71,8960.0,Egypt
146,Duplex For Sale in Eastown Sodic,/en/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2105360.html,4,4,314,300800.0,Egypt
147,A villa for sale in prime location,/en/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-2105686.html,5,5,440,320000.0,Egypt
148,apartment with garden for sale at katamya plaza,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-1st-settlement-al-katameya-plaza-2106248.html,2,3,155,224000.0,Egypt
149,Villa type K for sale in Madinaty fully Finished.,/en/buy/villa-for-sale-cairo-madinaty-2105788.html,3,3,800,640000.0,Egypt
150,Apartment for sale 124m in Fifth Square Al Marasem,/en/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-2106256.html,2,2,124,110804.67,Egypt
151,Duplex 236M for sale at Eastown 5th settelement,/en/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2107227.html,3,3,236,300800.0,Egypt
152,Stand Alone For Sale in Ivory hill2 W installments,/en/buy/villa-for-sale-giza-6-october-city-cairo-alexandria-desert-road-new-giza-2104581.html,5,5,700,992000.0,Egypt
153,twinhouse sodic east  with installment 10 year,/en/buy/twin-house-for-sale-cairo-new-heliopolis-6th-district-sodic-east-2104483.html,4,4,245,256000.0,Egypt
154,First row Lagoon villa cheapest price in Sea Shell,/en/buy/villa-for-sale-north-coast-al-alamein-seashell-2104646.html,4,4,480,512000.0,Egypt
155,Apartment 232 meters for sale in Eastown terrace,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-2106407.html,3,4,232,288000.0,Egypt
156,Own Apartment  In New Capital With DP 10%,/en/buy/apartment-for-sale-cairo-new-capital-city-r7-2106345.html,2,2,120,8000.0,Egypt
157,Special Standalone in Hyde Park New Cairo,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-2106933.html,3,3,360,448000.0,Egypt
